cm-1;%T
3646,00;98,48
3645,00;98,48
3644,00;98,49
3643,00;98,49
3642,00;98,49
3641,00;98,48
3640,00;98,48
3639,00;98,46
3638,00;98,45
3637,00;98,43
3636,00;98,41
3635,00;98,39
3634,00;98,38
3633,00;98,36
3632,00;98,33
3631,00;98,30
3630,00;98,27
3629,00;98,25
3628,00;98,24
3627,00;98,23
3626,00;98,22
3625,00;98,22
3624,00;98,22
3623,00;98,22
3622,00;98,22
3621,00;98,22
3620,00;98,21
3619,00;98,18
3618,00;98,14
3617,00;98,10
3616,00;98,07
3615,00;98,05
3614,00;98,03
3613,00;98,01
3612,00;97,98
3611,00;97,95
3610,00;97,93
3609,00;97,92
3608,00;97,92
3607,00;97,91
3606,00;97,90
3605,00;97,90
3604,00;97,89
3603,00;97,88
3602,00;97,87
3601,00;97,86
3600,00;97,85
3599,00;97,83
3598,00;97,82
3597,00;97,81
3596,00;97,79
3595,00;97,77
3594,00;97,75
3593,00;97,73
3592,00;97,70
3591,00;97,68
3590,00;97,67
3589,00;97,66
3588,00;97,66
3587,00;97,65
3586,00;97,63
3585,00;97,61
3584,00;97,60
3583,00;97,59
3582,00;97,58
3581,00;97,57
3580,00;97,56
3579,00;97,54
3578,00;97,52
3577,00;97,50
3576,00;97,48
3575,00;97,46
3574,00;97,45
3573,00;97,43
3572,00;97,40
3571,00;97,38
3570,00;97,35
3569,00;97,32
3568,00;97,30
3567,00;97,28
3566,00;97,26
3565,00;97,25
3564,00;97,23
3563,00;97,22
3562,00;97,21
3561,00;97,20
3560,00;97,19
3559,00;97,17
3558,00;97,16
3557,00;97,14
3556,00;97,12
3555,00;97,10
3554,00;97,08
3553,00;97,06
3552,00;97,04
3551,00;97,02
3550,00;96,99
3549,00;96,97
3548,00;96,95
3547,00;96,93
3546,00;96,91
3545,00;96,89
3544,00;96,87
3543,00;96,85
3542,00;96,83
3541,00;96,82
3540,00;96,81
3539,00;96,80
3538,00;96,79
3537,00;96,77
3536,00;96,75
3535,00;96,73
3534,00;96,72
3533,00;96,70
3532,00;96,67
3531,00;96,65
3530,00;96,63
3529,00;96,61
3528,00;96,59
3527,00;96,56
3526,00;96,54
3525,00;96,52
3524,00;96,51
3523,00;96,49
3522,00;96,48
3521,00;96,46
3520,00;96,45
3519,00;96,43
3518,00;96,42
3517,00;96,40
3516,00;96,38
3515,00;96,36
3514,00;96,34
3513,00;96,32
3512,00;96,30
3511,00;96,28
3510,00;96,26
3509,00;96,24
3508,00;96,22
3507,00;96,20
3506,00;96,18
3505,00;96,17
3504,00;96,15
3503,00;96,13
3502,00;96,10
3501,00;96,08
3500,00;96,06
3499,00;96,04
3498,00;96,03
3497,00;96,01
3496,00;96,00
3495,00;95,98
3494,00;95,97
3493,00;95,95
3492,00;95,92
3491,00;95,90
3490,00;95,87
3489,00;95,85
3488,00;95,83
3487,00;95,81
3486,00;95,79
3485,00;95,77
3484,00;95,76
3483,00;95,74
3482,00;95,72
3481,00;95,69
3480,00;95,66
3479,00;95,64
3478,00;95,62
3477,00;95,60
3476,00;95,58
3475,00;95,55
3474,00;95,53
3473,00;95,51
3472,00;95,49
3471,00;95,47
3470,00;95,46
3469,00;95,44
3468,00;95,42
3467,00;95,40
3466,00;95,37
3465,00;95,35
3464,00;95,33
3463,00;95,31
3462,00;95,28
3461,00;95,26
3460,00;95,23
3459,00;95,21
3458,00;95,19
3457,00;95,17
3456,00;95,15
3455,00;95,13
3454,00;95,11
3453,00;95,08
3452,00;95,06
3451,00;95,04
3450,00;95,02
3449,00;95,01
3448,00;94,98
3447,00;94,96
3446,00;94,93
3445,00;94,91
3444,00;94,88
3443,00;94,86
3442,00;94,84
3441,00;94,82
3440,00;94,80
3439,00;94,78
3438,00;94,76
3437,00;94,74
3436,00;94,72
3435,00;94,69
3434,00;94,67
3433,00;94,64
3432,00;94,62
3431,00;94,59
3430,00;94,57
3429,00;94,55
3428,00;94,52
3427,00;94,50
3426,00;94,47
3425,00;94,45
3424,00;94,42
3423,00;94,40
3422,00;94,38
3421,00;94,35
3420,00;94,33
3419,00;94,30
3418,00;94,28
3417,00;94,26
3416,00;94,25
3415,00;94,23
3414,00;94,21
3413,00;94,20
3412,00;94,18
3411,00;94,16
3410,00;94,14
3409,00;94,11
3408,00;94,09
3407,00;94,08
3406,00;94,06
3405,00;94,05
3404,00;94,05
3403,00;94,04
3402,00;94,04
3401,00;94,02
3400,00;94,00
3399,00;93,98
3398,00;93,96
3397,00;93,94
3396,00;93,92
3395,00;93,91
3394,00;93,90
3393,00;93,89
3392,00;93,88
3391,00;93,85
3390,00;93,83
3389,00;93,80
3388,00;93,78
3387,00;93,77
3386,00;93,76
3385,00;93,74
3384,00;93,73
3383,00;93,72
3382,00;93,70
3381,00;93,68
3380,00;93,67
3379,00;93,65
3378,00;93,63
3377,00;93,62
3376,00;93,60
3375,00;93,59
3374,00;93,58
3373,00;93,57
3372,00;93,57
3371,00;93,56
3370,00;93,55
3369,00;93,53
3368,00;93,51
3367,00;93,49
3366,00;93,47
3365,00;93,45
3364,00;93,43
3363,00;93,41
3362,00;93,40
3361,00;93,39
3360,00;93,37
3359,00;93,35
3358,00;93,33
3357,00;93,31
3356,00;93,30
3355,00;93,28
3354,00;93,27
3353,00;93,26
3352,00;93,25
3351,00;93,24
3350,00;93,23
3349,00;93,21
3348,00;93,20
3347,00;93,18
3346,00;93,17
3345,00;93,16
3344,00;93,15
3343,00;93,14
3342,00;93,13
3341,00;93,12
3340,00;93,11
3339,00;93,10
3338,00;93,09
3337,00;93,09
3336,00;93,09
3335,00;93,08
3334,00;93,09
3333,00;93,09
3332,00;93,09
3331,00;93,09
3330,00;93,10
3329,00;93,10
3328,00;93,11
3327,00;93,12
3326,00;93,13
3325,00;93,14
3324,00;93,15
3323,00;93,16
3322,00;93,17
3321,00;93,17
3320,00;93,18
3319,00;93,19
3318,00;93,19
3317,00;93,20
3316,00;93,20
3315,00;93,21
3314,00;93,21
3313,00;93,21
3312,00;93,21
3311,00;93,21
3310,00;93,22
3309,00;93,23
3308,00;93,23
3307,00;93,23
3306,00;93,23
3305,00;93,23
3304,00;93,23
3303,00;93,23
3302,00;93,23
3301,00;93,23
3300,00;93,23
3299,00;93,23
3298,00;93,23
3297,00;93,23
3296,00;93,23
3295,00;93,23
3294,00;93,23
3293,00;93,23
3292,00;93,23
3291,00;93,23
3290,00;93,23
3289,00;93,23
3288,00;93,23
3287,00;93,23
3286,00;93,24
3285,00;93,24
3284,00;93,25
3283,00;93,25
3282,00;93,25
3281,00;93,25
3280,00;93,26
3279,00;93,27
3278,00;93,28
3277,00;93,29
3276,00;93,30
3275,00;93,30
3274,00;93,32
3273,00;93,33
3272,00;93,34
3271,00;93,35
3270,00;93,37
3269,00;93,38
3268,00;93,39
3267,00;93,40
3266,00;93,42
3265,00;93,43
3264,00;93,45
3263,00;93,46
3262,00;93,47
3261,00;93,49
3260,00;93,50
3259,00;93,52
3258,00;93,54
3257,00;93,55
3256,00;93,57
3255,00;93,59
3254,00;93,60
3253,00;93,62
3252,00;93,63
3251,00;93,65
3250,00;93,66
3249,00;93,68
3248,00;93,70
3247,00;93,71
3246,00;93,72
3245,00;93,73
3244,00;93,75
3243,00;93,76
3242,00;93,78
3241,00;93,79
3240,00;93,81
3239,00;93,82
3238,00;93,84
3237,00;93,85
3236,00;93,87
3235,00;93,89
3234,00;93,90
3233,00;93,90
3232,00;93,91
3231,00;93,91
3230,00;93,92
3229,00;93,94
3228,00;93,95
3227,00;93,96
3226,00;93,98
3225,00;93,99
3224,00;94,00
3223,00;94,01
3222,00;94,02
3221,00;94,03
3220,00;94,05
3219,00;94,06
3218,00;94,07
3217,00;94,08
3216,00;94,09
3215,00;94,10
3214,00;94,11
3213,00;94,12
3212,00;94,13
3211,00;94,15
3210,00;94,16
3209,00;94,18
3208,00;94,19
3207,00;94,20
3206,00;94,21
3205,00;94,22
3204,00;94,23
3203,00;94,25
3202,00;94,26
3201,00;94,27
3200,00;94,29
3199,00;94,30
3198,00;94,31
3197,00;94,32
3196,00;94,33
3195,00;94,34
3194,00;94,35
3193,00;94,37
3192,00;94,38
3191,00;94,39
3190,00;94,41
3189,00;94,43
3188,00;94,44
3187,00;94,45
3186,00;94,47
3185,00;94,48
3184,00;94,49
3183,00;94,50
3182,00;94,51
3181,00;94,53
3180,00;94,54
3179,00;94,55
3178,00;94,56
3177,00;94,58
3176,00;94,59
3175,00;94,60
3174,00;94,61
3173,00;94,62
3172,00;94,63
3171,00;94,64
3170,00;94,66
3169,00;94,67
3168,00;94,69
3167,00;94,70
3166,00;94,71
3165,00;94,72
3164,00;94,73
3163,00;94,74
3162,00;94,75
3161,00;94,76
3160,00;94,77
3159,00;94,78
3158,00;94,79
3157,00;94,80
3156,00;94,81
3155,00;94,82
3154,00;94,83
3153,00;94,84
3152,00;94,84
3151,00;94,85
3150,00;94,86
3149,00;94,86
3148,00;94,87
3147,00;94,88
3146,00;94,89
3145,00;94,89
3144,00;94,90
3143,00;94,91
3142,00;94,92
3141,00;94,93
3140,00;94,93
3139,00;94,94
3138,00;94,94
3137,00;94,95
3136,00;94,96
3135,00;94,97
3134,00;94,97
3133,00;94,97
3132,00;94,97
3131,00;94,98
3130,00;94,99
3129,00;94,99
3128,00;95,00
3127,00;95,00
3126,00;95,01
3125,00;95,00
3124,00;95,00
3123,00;95,01
3122,00;95,01
3121,00;95,02
3120,00;95,03
3119,00;95,04
3118,00;95,04
3117,00;95,04
3116,00;95,04
3115,00;95,03
3114,00;95,03
3113,00;95,03
3112,00;95,04
3111,00;95,04
3110,00;95,04
3109,00;95,05
3108,00;95,05
3107,00;95,05
3106,00;95,06
3105,00;95,06
3104,00;95,06
3103,00;95,06
3102,00;95,06
3101,00;95,06
3100,00;95,06
3099,00;95,07
3098,00;95,07
3097,00;95,08
3096,00;95,08
3095,00;95,09
3094,00;95,09
3093,00;95,10
3092,00;95,11
3091,00;95,11
3090,00;95,12
3089,00;95,12
3088,00;95,12
3087,00;95,13
3086,00;95,13
3085,00;95,13
3084,00;95,14
3083,00;95,14
3082,00;95,14
3081,00;95,15
3080,00;95,15
3079,00;95,15
3078,00;95,16
3077,00;95,16
3076,00;95,16
3075,00;95,17
3074,00;95,17
3073,00;95,18
3072,00;95,18
3071,00;95,18
3070,00;95,19
3069,00;95,19
3068,00;95,19
3067,00;95,19
3066,00;95,19
3065,00;95,18
3064,00;95,18
3063,00;95,18
3062,00;95,18
3061,00;95,19
3060,00;95,19
3059,00;95,19
3058,00;95,19
3057,00;95,19
3056,00;95,18
3055,00;95,18
3054,00;95,19
3053,00;95,19
3052,00;95,19
3051,00;95,19
3050,00;95,19
3049,00;95,19
3048,00;95,19
3047,00;95,18
3046,00;95,18
3045,00;95,17
3044,00;95,17
3043,00;95,16
3042,00;95,16
3041,00;95,16
3040,00;95,15
3039,00;95,15
3038,00;95,15
3037,00;95,14
3036,00;95,14
3035,00;95,13
3034,00;95,12
3033,00;95,12
3032,00;95,12
3031,00;95,12
3030,00;95,12
