cm-1;%T
3646,00;95,67
3645,00;95,64
3644,00;95,60
3643,00;95,56
3642,00;95,52
3641,00;95,47
3640,00;95,42
3639,00;95,35
3638,00;95,29
3637,00;95,22
3636,00;95,15
3635,00;95,08
3634,00;95,01
3633,00;94,94
3632,00;94,86
3631,00;94,78
3630,00;94,69
3629,00;94,61
3628,00;94,55
3627,00;94,50
3626,00;94,45
3625,00;94,40
3624,00;94,34
3623,00;94,29
3622,00;94,24
3621,00;94,18
3620,00;94,12
3619,00;94,03
3618,00;93,93
3617,00;93,84
3616,00;93,75
3615,00;93,68
3614,00;93,60
3613,00;93,52
3612,00;93,44
3611,00;93,35
3610,00;93,27
3609,00;93,20
3608,00;93,14
3607,00;93,08
3606,00;93,02
3605,00;92,95
3604,00;92,89
3603,00;92,81
3602,00;92,73
3601,00;92,64
3600,00;92,56
3599,00;92,47
3598,00;92,39
3597,00;92,30
3596,00;92,21
3595,00;92,12
3594,00;92,03
3593,00;91,93
3592,00;91,83
3591,00;91,73
3590,00;91,64
3589,00;91,55
3588,00;91,46
3587,00;91,37
3586,00;91,28
3585,00;91,19
3584,00;91,09
3583,00;91,00
3582,00;90,91
3581,00;90,83
3580,00;90,73
3579,00;90,64
3578,00;90,54
3577,00;90,44
3576,00;90,33
3575,00;90,22
3574,00;90,12
3573,00;90,01
3572,00;89,90
3571,00;89,78
3570,00;89,66
3569,00;89,54
3568,00;89,43
3567,00;89,32
3566,00;89,21
3565,00;89,11
3564,00;89,00
3563,00;88,90
3562,00;88,80
3561,00;88,70
3560,00;88,59
3559,00;88,49
3558,00;88,38
3557,00;88,26
3556,00;88,15
3555,00;88,04
3554,00;87,92
3553,00;87,81
3552,00;87,69
3551,00;87,57
3550,00;87,45
3549,00;87,33
3548,00;87,21
3547,00;87,09
3546,00;86,97
3545,00;86,86
3544,00;86,75
3543,00;86,64
3542,00;86,54
3541,00;86,43
3540,00;86,32
3539,00;86,22
3538,00;86,10
3537,00;85,99
3536,00;85,88
3535,00;85,77
3534,00;85,66
3533,00;85,55
3532,00;85,43
3531,00;85,32
3530,00;85,21
3529,00;85,09
3528,00;84,97
3527,00;84,86
3526,00;84,74
3525,00;84,63
3524,00;84,53
3523,00;84,43
3522,00;84,34
3521,00;84,23
3520,00;84,13
3519,00;84,02
3518,00;83,92
3517,00;83,81
3516,00;83,70
3515,00;83,59
3514,00;83,48
3513,00;83,37
3512,00;83,27
3511,00;83,17
3510,00;83,06
3509,00;82,96
3508,00;82,85
3507,00;82,74
3506,00;82,63
3505,00;82,52
3504,00;82,41
3503,00;82,31
3502,00;82,21
3501,00;82,10
3500,00;82,00
3499,00;81,90
3498,00;81,80
3497,00;81,70
3496,00;81,61
3495,00;81,51
3494,00;81,41
3493,00;81,30
3492,00;81,20
3491,00;81,09
3490,00;80,98
3489,00;80,87
3488,00;80,76
3487,00;80,66
3486,00;80,56
3485,00;80,45
3484,00;80,35
3483,00;80,24
3482,00;80,13
3481,00;80,02
3480,00;79,91
3479,00;79,81
3478,00;79,71
3477,00;79,60
3476,00;79,49
3475,00;79,39
3474,00;79,27
3473,00;79,16
3472,00;79,05
3471,00;78,94
3470,00;78,82
3469,00;78,71
3468,00;78,60
3467,00;78,50
3466,00;78,40
3465,00;78,29
3464,00;78,19
3463,00;78,09
3462,00;77,98
3461,00;77,86
3460,00;77,75
3459,00;77,65
3458,00;77,54
3457,00;77,43
3456,00;77,33
3455,00;77,22
3454,00;77,12
3453,00;77,01
3452,00;76,90
3451,00;76,79
3450,00;76,68
3449,00;76,58
3448,00;76,47
3447,00;76,36
3446,00;76,25
3445,00;76,15
3444,00;76,04
3443,00;75,94
3442,00;75,83
3441,00;75,72
3440,00;75,61
3439,00;75,50
3438,00;75,39
3437,00;75,29
3436,00;75,18
3435,00;75,08
3434,00;74,98
3433,00;74,89
3432,00;74,79
3431,00;74,69
3430,00;74,59
3429,00;74,50
3428,00;74,40
3427,00;74,31
3426,00;74,22
3425,00;74,12
3424,00;74,03
3423,00;73,93
3422,00;73,84
3421,00;73,75
3420,00;73,66
3419,00;73,57
3418,00;73,48
3417,00;73,39
3416,00;73,31
3415,00;73,22
3414,00;73,13
3413,00;73,05
3412,00;72,97
3411,00;72,88
3410,00;72,80
3409,00;72,73
3408,00;72,66
3407,00;72,58
3406,00;72,51
3405,00;72,44
3404,00;72,36
3403,00;72,28
3402,00;72,20
3401,00;72,13
3400,00;72,07
3399,00;72,02
3398,00;71,97
3397,00;71,91
3396,00;71,85
3395,00;71,79
3394,00;71,73
3393,00;71,67
3392,00;71,62
3391,00;71,57
3390,00;71,52
3389,00;71,48
3388,00;71,44
3387,00;71,40
3386,00;71,36
3385,00;71,32
3384,00;71,28
3383,00;71,24
3382,00;71,20
3381,00;71,15
3380,00;71,11
3379,00;71,08
3378,00;71,04
3377,00;71,01
