cm-1;%T
3646,00;97,43
3645,00;97,42
3644,00;97,42
3643,00;97,41
3642,00;97,40
3641,00;97,39
3640,00;97,38
3639,00;97,37
3638,00;97,35
3637,00;97,34
3636,00;97,33
3635,00;97,32
3634,00;97,31
3633,00;97,29
3632,00;97,27
3631,00;97,24
3630,00;97,21
3629,00;97,19
3628,00;97,18
3627,00;97,17
3626,00;97,16
3625,00;97,15
3624,00;97,14
3623,00;97,13
3622,00;97,12
3621,00;97,11
3620,00;97,09
3619,00;97,07
3618,00;97,04
3617,00;97,02
3616,00;97,01
3615,00;96,99
3614,00;96,98
3613,00;96,96
3612,00;96,95
3611,00;96,92
3610,00;96,90
3609,00;96,88
3608,00;96,86
3607,00;96,84
3606,00;96,82
3605,00;96,81
3604,00;96,80
3603,00;96,78
3602,00;96,76
3601,00;96,74
3600,00;96,72
3599,00;96,70
3598,00;96,68
3597,00;96,67
3596,00;96,65
3595,00;96,63
3594,00;96,61
3593,00;96,59
3592,00;96,57
3591,00;96,55
3590,00;96,53
3589,00;96,51
3588,00;96,50
3587,00;96,48
3586,00;96,46
3585,00;96,44
3584,00;96,42
3583,00;96,40
3582,00;96,39
3581,00;96,37
3580,00;96,34
3579,00;96,32
3578,00;96,30
3577,00;96,28
3576,00;96,25
3575,00;96,23
3574,00;96,21
3573,00;96,18
3572,00;96,16
3571,00;96,14
3570,00;96,11
3569,00;96,09
3568,00;96,06
3567,00;96,04
3566,00;96,01
3565,00;95,99
3564,00;95,96
3563,00;95,94
3562,00;95,92
3561,00;95,90
3560,00;95,88
3559,00;95,87
3558,00;95,85
3557,00;95,83
3556,00;95,80
3555,00;95,78
3554,00;95,75
3553,00;95,73
3552,00;95,71
3551,00;95,68
3550,00;95,66
3549,00;95,63
3548,00;95,61
3547,00;95,58
3546,00;95,55
3545,00;95,52
3544,00;95,50
3543,00;95,48
3542,00;95,45
3541,00;95,43
3540,00;95,41
3539,00;95,39
3538,00;95,37
3537,00;95,35
3536,00;95,33
3535,00;95,31
3534,00;95,29
3533,00;95,27
3532,00;95,24
3531,00;95,22
3530,00;95,19
3529,00;95,16
3528,00;95,13
3527,00;95,11
3526,00;95,08
3525,00;95,06
3524,00;95,04
3523,00;95,02
3522,00;95,00
3521,00;94,98
3520,00;94,96
3519,00;94,94
3518,00;94,91
3517,00;94,89
3516,00;94,86
3515,00;94,83
3514,00;94,81
3513,00;94,78
3512,00;94,76
3511,00;94,74
3510,00;94,72
3509,00;94,70
3508,00;94,67
3507,00;94,65
3506,00;94,62
3505,00;94,60
3504,00;94,57
3503,00;94,55
3502,00;94,53
3501,00;94,50
3500,00;94,47
3499,00;94,44
3498,00;94,42
3497,00;94,41
3496,00;94,39
3495,00;94,37
3494,00;94,35
3493,00;94,32
3492,00;94,30
3491,00;94,27
3490,00;94,24
3489,00;94,22
3488,00;94,20
3487,00;94,17
3486,00;94,15
3485,00;94,13
3484,00;94,11
3483,00;94,08
3482,00;94,05
3481,00;94,03
3480,00;94,00
3479,00;93,97
3478,00;93,95
3477,00;93,92
3476,00;93,90
3475,00;93,87
3474,00;93,85
3473,00;93,82
3472,00;93,80
3471,00;93,77
3470,00;93,74
3469,00;93,72
3468,00;93,69
3467,00;93,67
3466,00;93,64
3465,00;93,62
3464,00;93,60
3463,00;93,57
3462,00;93,55
3461,00;93,52
3460,00;93,50
3459,00;93,47
3458,00;93,45
3457,00;93,42
3456,00;93,40
3455,00;93,38
3454,00;93,36
3453,00;93,33
3452,00;93,31
3451,00;93,28
3450,00;93,25
3449,00;93,23
3448,00;93,20
3447,00;93,18
3446,00;93,16
3445,00;93,14
3444,00;93,11
3443,00;93,09
3442,00;93,06
3441,00;93,03
3440,00;93,01
3439,00;92,98
3438,00;92,96
3437,00;92,93
3436,00;92,91
3435,00;92,88
3434,00;92,86
3433,00;92,84
3432,00;92,82
3431,00;92,79
3430,00;92,77
3429,00;92,75
3428,00;92,73
3427,00;92,70
3426,00;92,67
3425,00;92,65
3424,00;92,62
3423,00;92,60
3422,00;92,58
3421,00;92,56
3420,00;92,54
3419,00;92,52
3418,00;92,50
3417,00;92,48
3416,00;92,45
3415,00;92,43
3414,00;92,41
3413,00;92,38
3412,00;92,36
3411,00;92,34
3410,00;92,32
3409,00;92,30
3408,00;92,28
3407,00;92,26
3406,00;92,25
3405,00;92,23
3404,00;92,21
3403,00;92,19
3402,00;92,17
3401,00;92,15
3400,00;92,13
3399,00;92,12
3398,00;92,11
3397,00;92,09
3396,00;92,07
3395,00;92,05
3394,00;92,04
3393,00;92,02
3392,00;92,00
3391,00;91,99
3390,00;91,98
3389,00;91,97
3388,00;91,95
3387,00;91,93
3386,00;91,92
3385,00;91,90
3384,00;91,89
3383,00;91,87
3382,00;91,85
3381,00;91,83
3380,00;91,81
3379,00;91,80
3378,00;91,78
3377,00;91,76
3376,00;91,75
3375,00;91,74
3374,00;91,73
3373,00;91,71
3372,00;91,69
3371,00;91,67
3370,00;91,65
3369,00;91,64
3368,00;91,63
3367,00;91,62
3366,00;91,60
3365,00;91,59
3364,00;91,58
3363,00;91,57
3362,00;91,56
3361,00;91,55
3360,00;91,53
3359,00;91,52
3358,00;91,51
3357,00;91,49
3356,00;91,48
3355,00;91,46
3354,00;91,45
3353,00;91,43
3352,00;91,42
3351,00;91,41
3350,00;91,40
3349,00;91,39
3348,00;91,38
3347,00;91,37
3346,00;91,36
3345,00;91,35
3344,00;91,34
3343,00;91,33
3342,00;91,32
3341,00;91,31
3340,00;91,31
3339,00;91,30
3338,00;91,30
3337,00;91,30
3336,00;91,30
3335,00;91,30
3334,00;91,30
3333,00;91,30
3332,00;91,29
3331,00;91,29
3330,00;91,29
3329,00;91,28
3328,00;91,28
3327,00;91,28
3326,00;91,29
3325,00;91,30
3324,00;91,31
3323,00;91,31
3322,00;91,32
3321,00;91,32
3320,00;91,32
3319,00;91,32
3318,00;91,32
3317,00;91,32
3316,00;91,32
3315,00;91,33
3314,00;91,33
3313,00;91,33
3312,00;91,33
3311,00;91,33
3310,00;91,33
3309,00;91,33
3308,00;91,34
3307,00;91,34
3306,00;91,34
3305,00;91,34
3304,00;91,34
3303,00;91,34
3302,00;91,35
3301,00;91,35
3300,00;91,35
3299,00;91,35
3298,00;91,34
3297,00;91,35
3296,00;91,35
3295,00;91,35
3294,00;91,35
3293,00;91,35
3292,00;91,35
3291,00;91,35
3290,00;91,35
3289,00;91,36
3288,00;91,36
3287,00;91,36
3286,00;91,37
3285,00;91,38
3284,00;91,38
3283,00;91,38
3282,00;91,38
3281,00;91,39
3280,00;91,39
3279,00;91,40
3278,00;91,41
3277,00;91,42
3276,00;91,43
3275,00;91,44
3274,00;91,44
3273,00;91,45
3272,00;91,46
3271,00;91,47
3270,00;91,48
3269,00;91,50
3268,00;91,51
3267,00;91,53
3266,00;91,54
3265,00;91,55
3264,00;91,56
3263,00;91,57
3262,00;91,58
3261,00;91,60
3260,00;91,61
3259,00;91,62
3258,00;91,64
3257,00;91,65
3256,00;91,67
3255,00;91,69
3254,00;91,71
3253,00;91,72
3252,00;91,74
3251,00;91,75
3250,00;91,76
3249,00;91,77
3248,00;91,78
3247,00;91,80
3246,00;91,82
3245,00;91,84
3244,00;91,86
3243,00;91,88
3242,00;91,89
3241,00;91,91
3240,00;91,92
3239,00;91,94
3238,00;91,95
3237,00;91,97
3236,00;91,99
3235,00;92,01
3234,00;92,02
3233,00;92,04
3232,00;92,05
3231,00;92,06
3230,00;92,08
3229,00;92,09
3228,00;92,10
3227,00;92,12
3226,00;92,14
3225,00;92,15
3224,00;92,17
3223,00;92,18
3222,00;92,20
3221,00;92,22
3220,00;92,24
3219,00;92,25
3218,00;92,27
3217,00;92,29
3216,00;92,30
3215,00;92,32
3214,00;92,34
3213,00;92,35
3212,00;92,36
3211,00;92,38
3210,00;92,39
3209,00;92,41
3208,00;92,43
3207,00;92,45
3206,00;92,47
3205,00;92,49
3204,00;92,51
3203,00;92,53
3202,00;92,54
3201,00;92,56
3200,00;92,58
3199,00;92,59
3198,00;92,61
3197,00;92,63
3196,00;92,65
3195,00;92,67
3194,00;92,69
3193,00;92,70
3192,00;92,72
3191,00;92,74
3190,00;92,76
3189,00;92,78
3188,00;92,80
3187,00;92,81
3186,00;92,83
3185,00;92,85
3184,00;92,86
3183,00;92,88
3182,00;92,90
3181,00;92,92
3180,00;92,94
3179,00;92,96
3178,00;92,98
3177,00;93,00
3176,00;93,02
3175,00;93,04
3174,00;93,06
3173,00;93,07
3172,00;93,09
3171,00;93,11
3170,00;93,13
3169,00;93,15
3168,00;93,17
3167,00;93,19
3166,00;93,21
3165,00;93,23
3164,00;93,25
3163,00;93,27
3162,00;93,29
3161,00;93,32
3160,00;93,33
3159,00;93,35
3158,00;93,37
3157,00;93,38
3156,00;93,40
3155,00;93,42
3154,00;93,44
3153,00;93,46
3152,00;93,48
3151,00;93,50
3150,00;93,52
3149,00;93,54
3148,00;93,56
3147,00;93,58
3146,00;93,60
3145,00;93,62
3144,00;93,64
3143,00;93,65
3142,00;93,67
3141,00;93,69
3140,00;93,71
3139,00;93,73
3138,00;93,75
3137,00;93,77
3136,00;93,79
3135,00;93,81
3134,00;93,82
3133,00;93,84
3132,00;93,86
3131,00;93,87
3130,00;93,89
3129,00;93,91
3128,00;93,93
3127,00;93,95
3126,00;93,97
3125,00;93,98
3124,00;94,00
3123,00;94,01
