Ts;mass;dxdy
28,583;8,139;0,000358466
30,4753;8,139;0,000358466
35,0037;8,139;0,000358466
40,4931;8,139;0,000358466
46,5145;8,139;0,000194415
52,8402;8,139;0,000158318
59,355;8,139;0,000144989
65,9709;8,139;0,00015726
72,6444;8,139;0,000167461
79,3678;8,139;1,75E-04
86,1208;8,139;1,79E-04
92,9161;8,139;1,84E-04
99,6969;8,139;1,70E-04
106,556;8,139;1,51E-04
113,417;8,139;0,000136088
120,294;8,139;0,000112289
127,185;8,139;8,28E-05
134,084;8,139;6,27502E-05
141,011;8,139;3,75686E-05
147,942;8,139;2,91798E-05
154,888;8,139;2,90975E-05
161,839;8,139;3,49832E-05
168,804;8,139;2,56E-05
175,784;8,13871;-2,64922E-05
182,761;8,13889;-7,19893E-05
189,755;8,13809;-0,000103822
196,753;8,13281;-1,29E-04
203,75;8,13602;-1,46E-04
210,744;8,13569;-0,000166491
217,757;8,134;-0,000186192
224,761;8,13222;-0,000236552
231,773;8,131;-0,00029365
238,759;8,12816;-0,000382479
245,735;8,12662;-0,000429023
252,5;8,12185;-4,75E-04
259,581;8,11858;-4,77E-04
266,741;8,11603;-0,000486192
273,817;8,11232;-0,000530103
280,854;8,10942;-0,000770146
287,881;8,10417;-0,00194181
294,963;8,09813;-0,00367906
302,486;8,07252;-0,00535805
309,226;8,00491;-0,00662172
315,933;7,95462;-0,0072613
322,824;7,90961;-0,00736427
329,761;7,86529;-0,00827256
336,741;7,81367;-0,0108945
343,748;7,73975;-0,0156687
350,746;7,6261;-0,0228486
357,678;7,45444;-0,032092
364,605;7,20353;-0,0424524
371,48;6,86957;-0,0526526
378,385;6,46055;-0,0613871
385,303;5,99932;-0,0677723
392,22;5,50413;-0,0712293
399,13;4,99353;-0,0713111
406,054;4,48965;-0,0675975
412,987;4,02349;-0,0599744
419,918;3,6273;-0,0494435
426,844;3,33246;-0,0379443
433,753;3,13479;-0,0274207
440,65;2,99981;-0,0191968
447,544;2,90198;-0,0135781
454,424;2,83076;-0,00990187
461,294;2,77783;-0,00736197
468,147;2,73713;-0,00555401
475,002;2,70648;-0,00428068
481,849;2,68253;-0,00340937
488,674;2,66385;-0,00282213
495,506;2,64638;-0,00243546
502,333;2,63134;-0,00218357
509,168;2,61722;-0,00203191
515,989;2,60455;-0,00194174
522,808;2,59152;-0,00189173
529,61;2,57843;-0,00186389
536,437;2,56571;-0,00183882
543,252;2,55143;-0,0017963
550,037;2,54133;-0,00175632
556,853;2,52959;-0,00175455
563,648;2,518;-0,00174548
570,435;2,50635;-0,00177341
577,227;2,49398;-0,00181847
584,008;2,48106;-0,00180831
590,786;2,46804;-0,00176943
597,559;2,45515;-0,00170939
604,333;2,44533;-0,00158074
611,096;2,43462;-0,00148656
617,857;2,4251;-0,00141759
624,613;2,41656;-0,00130766
631,377;2,40428;-0,00124125
638,124;2,39878;-0,00115269
644,877;2,3918;-0,00105448
651,612;2,38419;-0,000998358
658,344;2,3781;-0,000989206
665,077;2,37155;-0,000965659
671,809;2,36417;-1,00E-03
678,547;2,35761;-9,87E-04
685,269;2,35127;-9,74E-04
692;2,34394;-9,74E-04
698,734;2,33811;-9,74E-04
